    sym.__mingw_invalidParameterHandler     1 0x140001000 |   MATCH  (1.000000) | 0x140001000      1 sym.__mingw_invalidParameterHandler
                         sym.pre_c_init   286 0x140001010 |   MATCH  (1.000000) | 0x140001010    286 sym.pre_c_init
                       sym.pre_cpp_init    73 0x140001130 |   MATCH  (1.000000) | 0x140001130     73 sym.pre_cpp_init
                  sym.__tmainCRTStartup   592 0x140001180 |   MATCH  (1.000000) | 0x140001180    592 sym.__tmainCRTStartup
                  sym.WinMainCRTStartup    29 0x1400013d0 |   MATCH  (1.000000) | 0x1400013d0     29 sym.WinMainCRTStartup
                                 entry0    29 0x1400013f0 |   MATCH  (1.000000) | 0x1400013f0     29 entry0
                             sym.atexit    20 0x140001410 |   MATCH  (1.000000) | 0x140001410     20 sym.atexit
               sym.__gcc_register_frame    12 0x140001430 |   MATCH  (1.000000) | 0x140001430     12 sym.__gcc_register_frame
             sym.__gcc_deregister_frame     1 0x140001440 |   MATCH  (1.000000) | 0x140001440      1 sym.__gcc_deregister_frame
                             sym.printf    84 0x140001450 |   MATCH  (1.000000) | 0x140001450     84 sym.printf
                               sym.main    69 0x1400014a4 |   MATCH  (0.985507) | 0x1400014a4     69 sym.main
                  sym.__do_global_dtors    58 0x1400014f0 |   MATCH  (1.000000) | 0x1400014f0     58 sym.__do_global_dtors
                  sym.__do_global_ctors   106 0x140001530 |   MATCH  (1.000000) | 0x140001530    106 sym.__do_global_ctors
                             sym.__main    31 0x1400015a0 |   MATCH  (1.000000) | 0x1400015a0     31 sym.__main
                           sym._setargv     3 0x1400015c0 |   MATCH  (1.000000) | 0x1400015c0      3 sym._setargv
                     sym.__dyn_tls_dtor    47 0x1400015d0 |   MATCH  (1.000000) | 0x1400015d0     47 sym.__dyn_tls_dtor
                     sym.__dyn_tls_init   129 0x140001600 |   MATCH  (1.000000) | 0x140001600    129 sym.__dyn_tls_init
                        sym.__tlregdtor     3 0x140001690 |   MATCH  (1.000000) | 0x140001690      3 sym.__tlregdtor
                           sym._matherr   248 0x1400016a0 |   MATCH  (1.000000) | 0x1400016a0    248 sym._matherr
                           sym._fpreset     3 0x1400017a0 |   MATCH  (1.000000) | 0x1400017a0      3 sym._fpreset
                     sym.__report_error   112 0x1400017b0 |   MATCH  (1.000000) | 0x1400017b0    112 sym.__report_error
              sym.mark_section_writable   368 0x140001820 |   MATCH  (1.000000) | 0x140001820    368 sym.mark_section_writable
          sym._pei386_runtime_relocator   864 0x140001990 |   MATCH  (1.000000) | 0x140001990    864 sym._pei386_runtime_relocator
              sym.__mingw_raise_matherr    62 0x140001cf0 |   MATCH  (1.000000) | 0x140001cf0     62 sym.__mingw_raise_matherr
             sym.__mingw_setusermatherr    12 0x140001d30 |   MATCH  (1.000000) | 0x140001d30     12 sym.__mingw_setusermatherr
             sym._gnu_exception_handler   408 0x140001d40 |   MATCH  (1.000000) | 0x140001d40    408 sym._gnu_exception_handler
    sym.__mingwthr_run_key_dtors.part.0   112 0x140001ee0 |   MATCH  (1.000000) | 0x140001ee0    112 sym.__mingwthr_run_key_dtors.part.0
       sym.___w64_mingwthr_add_key_dtor   111 0x140001f50 |   MATCH  (1.000000) | 0x140001f50    111 sym.___w64_mingwthr_add_key_dtor
    sym.___w64_mingwthr_remove_key_dtor   129 0x140001fc0 |   MATCH  (1.000000) | 0x140001fc0    129 sym.___w64_mingwthr_remove_key_dtor
                sym.__mingw_TLScallback   242 0x140002050 |   MATCH  (1.000000) | 0x140002050    242 sym.__mingw_TLScallback
                 sym._ValidateImageBase    44 0x140002150 |   MATCH  (1.000000) | 0x140002150     44 sym._ValidateImageBase
                     sym._FindPESection    80 0x140002180 |   MATCH  (1.000000) | 0x140002180     80 sym._FindPESection
               sym._FindPESectionByName   157 0x1400021d0 |   MATCH  (1.000000) | 0x1400021d0    157 sym._FindPESectionByName
       sym.__mingw_GetSectionForAddress   128 0x140002270 |   MATCH  (1.000000) | 0x140002270    128 sym.__mingw_GetSectionForAddress
            sym.__mingw_GetSectionCount    55 0x1400022f0 |   MATCH  (1.000000) | 0x1400022f0     55 sym.__mingw_GetSectionCount
                 sym._FindPESectionExec   115 0x140002330 |   MATCH  (1.000000) | 0x140002330    115 sym._FindPESectionExec
                    sym._GetPEImageBase    54 0x1400023b0 |   MATCH  (1.000000) | 0x1400023b0     54 sym._GetPEImageBase
       sym._IsNonwritableInCurrentImage   137 0x1400023f0 |   MATCH  (1.000000) | 0x1400023f0    137 sym._IsNonwritableInCurrentImage
  sym.__mingw_enum_import_library_names   198 0x140002480 |   MATCH  (1.000000) | 0x140002480    198 sym.__mingw_enum_import_library_names
                   sym.__mingw_vfprintf    65 0x140002590 |   MATCH  (1.000000) | 0x140002590     65 sym.__mingw_vfprintf
                      sym.__pformat_cvt   236 0x1400025e0 |   MATCH  (1.000000) | 0x1400025e0    236 sym.__pformat_cvt
                     sym.__pformat_putc    87 0x1400026d0 |   MATCH  (1.000000) | 0x1400026d0     87 sym.__pformat_putc
                sym.__pformat_wputchars   398 0x140002730 |   MATCH  (1.000000) | 0x140002730    398 sym.__pformat_wputchars
                 sym.__pformat_putchars   324 0x1400028c0 |   MATCH  (1.000000) | 0x1400028c0    324 sym.__pformat_putchars
                     sym.__pformat_puts    71 0x140002a10 |   MATCH  (1.000000) | 0x140002a10     71 sym.__pformat_puts
          sym.__pformat_emit_inf_or_nan   146 0x140002a60 |   MATCH  (1.000000) | 0x140002a60    146 sym.__pformat_emit_inf_or_nan
              sym.__pformat_xint.isra.0  1191 0x140002b00 |   MATCH  (1.000000) | 0x140002b00   1191 sym.__pformat_xint.isra.0
               sym.__pformat_int.isra.0   899 0x140002fb0 |   MATCH  (1.000000) | 0x140002fb0    899 sym.__pformat_int.isra.0
         sym.__pformat_emit_radix_point   334 0x140003340 |   MATCH  (1.000000) | 0x140003340    334 sym.__pformat_emit_radix_point
               sym.__pformat_emit_float   985 0x140003490 |   MATCH  (1.000000) | 0x140003490    985 sym.__pformat_emit_float
              sym.__pformat_emit_efloat   204 0x140003870 |   MATCH  (1.000000) | 0x140003870    204 sym.__pformat_emit_efloat
                   sym.__pformat_efloat   159 0x140003940 |   MATCH  (1.000000) | 0x140003940    159 sym.__pformat_efloat
                    sym.__pformat_float   223 0x1400039e0 |   MATCH  (1.000000) | 0x1400039e0    223 sym.__pformat_float
                   sym.__pformat_gfloat   376 0x140003ac0 |   MATCH  (1.000000) | 0x140003ac0    376 sym.__pformat_gfloat
       sym.__pformat_emit_xfloat.isra.0  1179 0x140003c40 |   MATCH  (1.000000) | 0x140003c40   1179 sym.__pformat_emit_xfloat.isra.0
                    sym.__mingw_pformat  2759 0x1400040e0 |   MATCH  (1.000000) | 0x1400040e0   2759 sym.__mingw_pformat
                     sym.__rv_alloc_D2A    55 0x140004bb0 |   MATCH  (1.000000) | 0x140004bb0     55 sym.__rv_alloc_D2A
                    sym.__nrv_alloc_D2A   124 0x140004bf0 |   MATCH  (1.000000) | 0x140004bf0    124 sym.__nrv_alloc_D2A
                         sym.__freedtoa    39 0x140004c70 |   MATCH  (1.000000) | 0x140004c70     39 sym.__freedtoa
                       sym.__quorem_D2A   382 0x140004ca0 |   MATCH  (1.000000) | 0x140004ca0    382 sym.__quorem_D2A
                            sym.__gdtoa  6104 0x140004e20 |   MATCH  (1.000000) | 0x140004e20   6104 sym.__gdtoa
                       sym.__rshift_D2A   242 0x140006600 |   MATCH  (1.000000) | 0x140006600    242 sym.__rshift_D2A
                       sym.__trailz_D2A    58 0x140006700 |   MATCH  (1.000000) | 0x140006700     58 sym.__trailz_D2A
                          sym.dtoa_lock   217 0x140006740 |   MATCH  (1.000000) | 0x140006740    217 sym.dtoa_lock
                  sym.dtoa_lock_cleanup    66 0x140006820 |   MATCH  (1.000000) | 0x140006820     66 sym.dtoa_lock_cleanup
                       sym.__Balloc_D2A   235 0x140006870 |   MATCH  (1.000000) | 0x140006870    235 sym.__Balloc_D2A
                        sym.__Bfree_D2A    99 0x140006960 |   MATCH  (1.000000) | 0x140006960     99 sym.__Bfree_D2A
                      sym.__multadd_D2A   185 0x1400069d0 |   MATCH  (1.000000) | 0x1400069d0    185 sym.__multadd_D2A
